Libellé,Nom API,Type,Valeurs possibles,Obligatoire,Description / Aide
Prénom,FirstName__c,Texte,,Oui,Prénom du contact
Nom,LastName__c,Texte,,Oui,Nom du contact
Société,Company__c,Texte,,Oui,Nom de l’entreprise ou organisation
Email,Email__c,Email,,Non,Adresse email du contact
Téléphone,Phone__c,Téléphone,,Non,Numéro de téléphone
Site Web,Website__c,URL,,Non,Site web de l’entreprise
Source,Source__c,Liste de sélection,Prospection,Oui,Origine de la prospection
Date du premier contact,FirstContactDate__c,Date,,Non,Date de la première interaction
Dernière interaction,LastInteractionDate__c,Date/Heure,,Non,Date de la dernière interaction enregistrée
Niveau d’intérêt,InterestLevel__c,Liste de sélection,"Froid,Tiède,Chaud",Oui,Degré d'intérêt estimé
Étape de qualification,QualificationStage__c,Liste de sélection,"Nouveau,En contact,En discussion,En nurturing,Prêt à convertir,Converti",Oui,Étape actuelle du suivi
Score marketing,MarketingScore__c,Nombre,,Non,Score issu d’un outil marketing automation
Commentaires,Comments__c,Zone de texte longue,,Non,Notes internes et observations
Responsable avant-vente,AssignedPreSales__c,Lookup(User),,Non,Utilisateur Salesforce responsable du suivi
Est converti en Lead ?,IsConverted__c,Case à cocher,true/false,Non,Indique si la fiche a été convertie
Date de conversion,ConversionDate__c,Date,,Non,Date de conversion en Lead
Lead associé,AssociatedLead__c,Lookup(Lead),,Non,Lien vers le Lead créé
