Libellé,Description / Aide,Nom API,Obligatoire,Type,Valeurs possibles
Prénom,Prénom du contact,FirstName__c,Oui,Texte,
Nom,Nom du contact,LastName__c,Oui,Texte,
Société,Nom de l’entreprise ou organisation,Company__c,Oui,Texte,
Email,Adresse email du contact,Email__c,Non,Email,
Téléphone,Numéro de téléphone,Phone__c,Non,Téléphone,
Source,Origine de la prospection,Source__c,Oui,Liste de sélection,Prospection
Site Web,Site web de l’entreprise,Website__c,Non,URL,
Date du premier contact,Date de la première interaction,FirstContactDate__c,Non,Date,
Dernière interaction,Date de la dernière interaction enregistrée,LastInteractionDate__c,Non,Date/Heure,
Niveau d’intérêt,Degré d'intérêt estimé,InterestLevel__c,Oui,Liste de sélection,"Froid,Tiède,Chaud"
Score marketing,Score issu d’un outil marketing automation,MarketingScore__c,Non,Nombre,
Étape de qualification,Étape actuelle du suivi,QualificationStage__c,Oui,Liste de sélection,"Nouveau,En contact,En discussion,En nurturing,Prêt à convertir,Converti"
Commentaires,Notes internes et observations,Comments__c,Non,Zone de texte longue,
Est converti en Lead ?,Indique si la fiche a été convertie,IsConverted__c,Non,Case à cocher,true/false
Responsable avant-vente,Utilisateur Salesforce responsable du suivi,AssignedPreSales__c,Non,Lookup(User),
Lead associé,Lien vers le Lead créé,AssociatedLead__c,Non,Lookup(Lead),
Date de conversion,Date de conversion en Lead,ConversionDate__c,Non,Date,
