Champ,ID SF,Type de données,Choix,Champ de fusion
Montant,Amount,"Devise(16, 2)",,
Prestation,Prestation__c,Liste de sélection,"2 options, Audio, Autres, PDN & rédaction, Visio & rédaction","[[!PRESTATION!]]   "
Type de document,Type_de_document__c,Liste de sélection,"Autres, CRI, CRO/CRS, Double doc, Synthèse, Verbatim",
Propriétaire de l’opportunité,OwnerId,Référence(Utilisateur),,
Nom de l’opportunité,Nom_OPP_Perso__c,Texte(150),,
Nom du compte,AccountId,Référence(Contact),,"[[!COMPTE!]]   "
Date de création,DateCreationV2__c,Date,,
N° d’affaire,N_d_Affaire__c,Numéro automatique,,
Type de réunion,TypeReunion__c,Texte(50),,[[!TYPE-REUNION!]]
Fréquence,Frequence__c,Liste de sélection,"Autre, Bimestriel, Mensuelle, Ponctuelle, Trimestrielle",
Nombre de réunions,NombreReunions__c,"Numéro(3, 0)",,"[[!NOMBRE-REUNION!]]   "
Date de première prestation,Date_de_premiere_prestation__c,Date,,
Ville de prestation,Ville_de_prestation__c,Texte(255),,"[[!LIEU!]]   "
"Langue d’intervention et de rédaction    ",Langue_d_intervention_r_daction,Liste de sélection,"Anglais, Français","[[!LANGUE!]]   "
Délai de livraison,Delai_de_livraison__c,Texte(25),,"[[!DELAI-LIVRAISON!]]   "
"Délai minimum   ",Delai_minimum__c,Texte(25),,"[[!DELAI-LIVRAISON-MINI!]]   "
,,,,
