Champ,ID SF,Description,Type de données,Choix
Propriétaire du compte,OwnerId,,Référence(Utilisateur),
Type,Type,,Liste de sélection,"Association et fédération, Institution publique, Société privée"
Employés,NumberOfEmployees,,"Numéro(8, 0)",
Nom du compte,Name,,Nom,
Est un compte principal,IsComptePrincipal__c,,Formule (Case à cocher),
Nbres de comptes secondaires associés,NbreComptesSecondaires__c,,"Numéro(3, 0)",
Compte principal,ParentId,,Hiérarchie,
Source du compte,AccountSource,,Liste de sélection,"2LU, AO, AdWords, Elevage, Pardot, Partenaire, Prospection, Site Codexa, Vtiger"
Nom du partenaire,NomPartenaire__c,,Liste de sélection,"Alinéa, B2L, CGT Mulhouse, Composya, Conseil CE, Ekipéa, FO, ICMP-RH, Komité, Newcom, Rédacteur, Sarah Dandec, TTP-Amplus, Uni-CE"
Date Ancien Client,Date_de_changement_de_statut__c,,Date,
Sous-secteur d’activité,Sous_secteur_d_activite__c,,Liste de sélection,"Agences de com/marketing, Agroalimentaire, Assurance/mutuelle, Audit & Conseil, Autres, Aéronautique, Banques, Bois & papier, Collectivité territoriale, Construction, Cosmétique, Culture (hors musées & châteaux), Distribution en ligne, Défense, Education, Emploi, Energie, Environnement, Gestion de l'eau, Gestion des déchets, Grande distribution (alimentaire), Grands magasins spécialisés (hors alimentaire), Habillement, Hébergement, Hôpitaux/cliniques, Hôtellerie/restauration, IT/Télécommunication, Industrie automobile, Industrie chimique, Industrie lourde, Industrie pharmaceutique, Jeux, Justice, Luxe, Mairie, Matériel électrique, Meubles, Ministères, Musées et châteaux, Presse et média, Recherche, Santé (hors hôpitaux & cliniques), Secteur solidaire, Services aux entreprises, Sport, Syndicat, Sécurité, Transport de voyageur, Transport routier/Logistique, Verres & métaux, Voyage"
Type de compte,Type_de_compte__c,,Liste de sélection,"Direction, Direction & Elu, Elu"
Type de comité,Type_de_comit__c,,Liste de sélection,"CEE, CEE & CG, CG"
Description,Description,,Zone de texte longue(32000),
Type de client,TypeClient__c,,Liste de sélection,"Ancien client, Client existant, Prospect Fermé Réouvert, Prospect en cours, Prospect fermé perdu, Prospect à travailler"
Concurrent,Concurrent__c,,Liste de sélection,"AB Report, Amk, Autre, Compte-rendu, Conseil CE, Céliade, En interne, H2COM, Indépendant, Menacom, Mot-Tech, Ne sais pas, Non applicable, Prise de notes, Résumémo, Stylix, Trait de plume, Transcriptus, Ubiqus, Yabuko"
Date fermé perdu,DateFermePerdu__c,,Date,
Adresse de facturation,BillingAddress,,Adresse,
Téléphone,Phone,,Téléphone,
Cumul CA réel année N,CumulCAReelAnneeN__c,,Récapitulatif de cumul (SUM Opportunité),
Cumul CA réel année N - 1,CumulCAReelAnneeNMinus1__c,,Récapitulatif de cumul (SUM Opportunité),
Cumul CA réel année N - 2,CumulCAReelAnneeNMinus2__c,,Récapitulatif de cumul (SUM Opportunité),
Alias Intranet,AliasIntranet__c,,Texte(50),
