Champ,Choix,ID SF,Type de données
Poste,"Acheteur(teuse), Ancien(ne) secrétaire, Assistant(e) RH, Assistant(e) de direction, Autres, Chargé(e) de communication, Chargé(e) de facturation, Chargé(e) de mission, Chargé(e) de mission Dialogue Social, Chef(fe) de service, DRH, DRH groupe, DRS groupe, Directeur(trice), Directeur(trice) Financier(ère), Directeur(trice) Général(e), Directeur(trice) Général(e) des Services, Directeur(trice) Juridique, Directeur(trice) adjoint(e), Directeur(trice) de la Communication, Directeur(trice) des relations sociales, Directeur(trice) régional(e), Délégué(e) syndicale, Elu(e), Gestionnaire RH, Resp. Dialogue Social, Resp. Juridique, Resp. administratif, Resp. communication, Resp. de Pôle, Secrétaire CSE, Secrétaire CSSCT, Secrétaire adjoint(e) CSE, Secrétaire adjoint(e) CSEC, Secrétaire adjoint(e) CSSCT, Secrétaire admin. CSE, Secrétaire de CEE, Secrétaire de CSECS, Secrétaire de direction, Secrétaire du CG, Secrétaire général(e), Trésorier(ère), Trésorier(ère) adjoint(e)",Poste__c,Liste de sélection
Adresse e-mail,,Email,E-mail
Téléphone,,Phone,Téléphone
Ne pas recontacter,,Ne_pas_recontacter__c,Formule (Case à cocher)
Nom complet,,Name,Nom
Nom du compte,,AccountId,Référence(Compte)
Type,,Type__c,Formule (Texte)
Sous-secteur d’activité,,SousSecteurActivite__c,Formule (Texte)
Autre mail,,Autre_mail__c,E-mail
Désinscription d’adresse e-mail,,HasOptedOutOfEmail,Case à cocher
Retirer de la liste de diffusion Pardot,,Retirer_de_la_liste_de_diffusion_Pardot__c,Case à cocher
"Téléphone mobile ",,MobilePhone,Téléphone
Propriétaire du contact,,OwnerId,Référence(Utilisateur)
"Autre téléphone ",,OtherPhone__c,Téléphone
"Autre poste ",,AutrePoste__c,Texte(150)
"Service du contact ","Achats, Autres, Communication, DRH, Direction, Direction Générale des Services, IRP, Secrétariat Général, Secrétariat des Conseils, Service Facturation, Service des Assemblées, Service des affaires juridiques",Service_du_contact__c,Liste de sélection
Responsable hiérarchique,,ReportsToId,Référence(Contact)
Type de comité,"CE, CE & CG, CG",Type_de_comit__c,Liste de sélection
Description,,Description,Zone de texte longue(32000)
Elections,,Elections__c,Date
Durée du mandat,,Duree_du_mandat__c,"Numéro(3, 0)"
Adresse postale,,MailingAddress,Adresse
Créé par,,CreatedById,Référence(Utilisateur)
"Dernière modification par ",,LastModifiedById,Référence(Utilisateur)
