Champ,Choix,ID SF,Type de données
Date de notification,,DateNotification__c,Date
Date de fin,,DateFin__c,Formule (Date)
Durée,,DureeMois__c,"Numéro(3, 0)"
Type,"Autre, Institution publique",TypeMarchePulic__c,Liste de sélection
Marchés publics,,Name,Numéro automatique
Nom du marché,,NomMarche__c,Formule (Texte)
Compte,,Compte__c,Principal - Détails(Compte)
Opportunité,,Opportunite__c,Principal - Détails(Opportunité)
Description,,Description__c,Zone de texte enrichi(32768)
Montant du marché,,MontantMarche__c,Formule (Devise)
Marché perdu,,MarchePerdu__c,Case à cocher
Date anniversaire initial,,DateAnniversaire__c,Formule (Date)
Nbr renouvellement après la période,,NbreRenouvellementPostPeriode__c,"Numéro(2, 0)"
Nbr renouvellement effectué,,Nbr_renouvellement_effectu__c,"Numéro(2, 0)"
Date du prochain renouvellement,,Date_du_prochain_renouvellement__c,Formule (Date)
Nbre mois avant envoi avenant,,NbreMoisAvantEnvoiAvenant__c,"Numéro(3, 0)"
Action de renouvellement,,ActionRenouvellement__c,Formule (Date)
Délai d’envoi avenant,,DelaienvoiAvenant__c,Formule (Date)
Révision de prix à appliquer,"Non, Oui",RevisionPrixApplication__c,Liste de sélection
Révision des prix,,RevisionPrix__c,Zone de texte enrichi(32768)
techStopRenouvellement,,techStopRenouvellement__c,Formule (Case à cocher)
