Champ,ID SF,Type de données,Choix
Montant,Amount,"Devise(16, 2)",
Prestation,Prestation__c,Liste de sélection,"2 options, Audio, Autres, PDN & rédaction, Visio & rédaction"
Type de document,Type_de_document__c,Liste de sélection,"Autres, CRI, CRO/CRS, Double doc, Synthèse, Verbatim"
Propriétaire de l’opportunité,OwnerId,Référence(Utilisateur),
Nom de l’opportunité,Nom_OPP_Perso__c,Texte(150),
Nom du compte,AccountId,Référence(Contact),
Type de compte,TypeCompte__c,Formule (Texte),
Origine du compte,Origine_compte_auto__c,Formule (Texte),
Nom du partenaire,Nom_Partenaire_auto__c,Formule (Texte),
Source de l’opportunité,Source_Opportunite__c,Liste de sélection,"2LU, Elevage, PDN & rédaction, Partenaire, Prospection, Recommandation, Site Codexa"
Service,Service__c,Liste de sélection,"Achats, Autres, Communication, DRH, Direction, Direction Générale des Services, IRP, Secrétariat Général, Secrétariat des Conseils, Service des Assemblées"
Rôle du compte,Role_du_compte__c,Liste de sélection,"Direction, Direction & Elu, Elu"
Raison du refus,RaisonRefus__c,Liste de sélection,"Autres, Budget, Délai, Prestation hors cadre, Tarifs, Type de document, Zone blanche"
Autre raison de refus,AutreRaisonRefus__c,Texte(200),
Date fermé perdu,DateFermePerdu__c,Date,
"Etape ",StageName,Liste de sélection,"Approche, Fermée perdue, Négociation, Ordre, Proposition, Prospect"
Probabilité (%),Probability,"Pourcentage(3, 0)",
"Date de clôture ",CloseDate,Date,
Concurrent,Concurrent__c,Liste de sélection,"AB Report, Amk, Autres, Compte-Rendu, Conseil CE, Céliade, En interne, H2COM, Indépendant, Menacom, Mot-Tech, Ne sais pas, Non applicable, Prise de notes, Résumémo, Stylix, Trait de plume, Transcriptus, Ubiqus, Yabuko"
Autre concurrent,AutreConcurrent__c,Liste de sélection,
CA réel année N,CAReelAnneeN__c,"Devise(16, 2)",
CA réel année N - 1,CAReelAnneeMinus1__c,"Devise(16, 2)",
CA réel année N - 2,CAReelAnneeMinus2__c,"Devise(16, 2)",
Date de création,DateCreationV2__c,Date,
CA ponctuel après signature,CAPonctuelApresSignature__c,"Devise(16, 2)",
CA ponctuel avant signature,CAPostSignature__c,"Devise(16, 2)",
CA récurrent avant signature,CARecurrentAvantSignature__c,"Devise(16, 2)",
"CA récurrent après signature ",CARecurentsV2__c,"Devise(16, 2)",
N° d’affaire,N_d_Affaire__c,Numéro automatique,
Type de réunion,TypeReunion__c,Texte(50),
Prestation,Prestation__c,Liste de sélection,"2 options, Audio, Autres, PDN & rédaction, Visio & rédaction"
Fréquence,Frequence__c,Liste de sélection,"Autre, Bimestriel, Mensuelle, Ponctuelle, Trimestrielle"
Nombre de réunions,NombreReunions__c,"Numéro(3, 0)",
Date de première prestation,Date_de_premiere_prestation__c,Date,
Ville de prestation,Ville_de_prestation__c,Texte(255),
Département de prestation,Departement_de_prestation__c,Liste de sélection,"01 Ain, 02 Aisne, 03 Allier, 04 Alpes-de-Haute-Provence, 05 Hautes-Alpes, 06 Alpes-Maritimes, 07 Ardèche, 08 Ardennes, 09 Ariège, 10 Aube, 11 Aude, 12 Aveyron, 13 Bouches-du-Rhône, 14 Calvados, 15 Cantal, 16 Charente, 17 Charente-Maritime, 18 Cher, 19 Corrèze, 21 Côte-d'Or, 22 Côtes d'Armor, 23 Creuse, 24 Dordogne, 25 Doubs, 26 Drôme, 27 Eure, 28 Eure-et-Loir, 29 Finistère, 2A Corse-du-Sud, 2B Haute-Corse, 30 Gard, 31 Haute-Garonne, 32 Gers, 33 Gironde, 34 Hérault, 35 Ille-et-Vilaine, 36 Indre, 37 Indre-et-Loire, 38 Isère, 39 Jura, 40 Landes, 41 Loir-et-Cher, 42 Loire, 43 Haute-Loire, 44 Loire-Atlantique, 45 Loiret, 46 Lot, 47 Lot-et-Garonne, 48 Lozère, 49 Maine-et-Loire, 50 Manche, 51 Marne, 52 Haute-Marne, 53 Mayenne, 54 Meurthe-et-Moselle, 55 Meuse, 56 Morbihan, 57 Moselle, 58 Nièvre, 59 Nord, 60 Oise, 61 Orne, 62 Pas-de-Calais, 63 Puy-de-Dôme, 64 Pyrénées-Atlantiques, 65 Hautes-Pyrénées, 66 Pyrénées-Orientales, 67 Bas-Rhin, 68 Haut-Rhin, 69 Rhône, 70 Haute-Saône, 71 Saône-et-Loire, 72 Sarthe, 73 Savoie, 74 Haute-Savoie, 75 Paris, 76 Seine-Maritime, 77 Seine-et-Marne, 78 Yvelines, 79 Deux-Sèvres, 80 Somme, 81 Tarn, 82 Tarn-et-Garonne, 83 Var, 84 Vaucluse, 85 Vendée, 86 Vienne, 87 Haute-Vienne, 88 Vosges, 89 Yonne, 90 Territoire de Belfort, 91 Essonne, 92 Hauts-de-Seine, 93 Seine-St-Denis, 94 Val-de-Marne, 95 Val-D'Oise, 971 Guadeloupe, 972 Martinique, 973 Guyane, 974 La Réunion, 976 Mayotte, Visio & rédaction"
Description,Description,Zone de texte longue(32000),
Créé par,CreatedById,Référence(Utilisateur),
GCLID,GCLID__c,Texte(255),
"Dernière modification par ",LastModifiedById,Référence(Utilisateur),
