Nom du rapport,Description,Dossier
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LR9l2AG/view?queryScope=userFolders,% d'opportunités gagnée par source FY précédente,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LtXd2AK/view?queryScope=userFolders,% opportunités gagnées par source FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pf3UAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aserQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pedUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089peeUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pefUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000001C9ADMA0/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000001ByI1MAK/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn632AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
Appels perdus,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
Appels Sortants,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
Avancement CA prestations ponctuelles,,Suivi commercial Codexa
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JeWV2A0/view?queryScope=userFolders,,Suivi commercial Codexa
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pegUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pehUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089peiUAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aseqQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn5s2AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhpn2AC/view?queryScope=userFolders,My CA récurrent Sociétés privées FY en cours avant signature,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhlg2AC/view?queryScope=userFolders,My CA récurrent Associations et fédération FY en cours avant signature,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhlb2AC/view?queryScope=userFolders,My CA récurrent Institutions publiques avec AO avant signature,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
CA av.sign récu. IP no AO. FY en cours,My CA récurrent Institutions publiques sans AO FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVOD2A4/view?queryScope=userFolders,CA nouveau business ponctuel Association et fédération FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVO82AO/view?queryScope=userFolders,CA nouveau business ponctuel Institution publique FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVO32AO/view?queryScope=userFolders,CA nouveau business ponctuel privé FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVOI2A4/view?queryScope=userFolders,CA nouveau business ponctuel Société privée FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lls22AC/view?queryScope=userFolders,"CA Ordre, Avec AO, public, récurrent FY en cours",https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LhlH2AS/view?queryScope=userFolders,My CA récurrent Institution publiques hors AO FY en cours après signature,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhl72AC/view?queryScope=userFolders,My CA récurrent Associations et fédération FY en cours après signature,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVLn2AO/view?queryScope=userFolders,CA nouveau business récurrent Associations et fédérations FY 22 et FY23,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVMl2AO/view?queryScope=userFolders,CA nouveau business récurrent Association et fédération FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVN52AO/view?queryScope=userFolders,CA nouveau business récurrent Institution publique n FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVM22AO/view?queryScope=userFolders,CA nouveau business récurrent Institution publique FY 22 et FY23,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
CA NB récurrent privé FY en cours,CA nouveau business récurrent privé FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LR0F2AW/view?queryScope=userFolders,CA nouveau business récurrent Société privée FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
CA NB récurrent stés privé FY en cours,CA récurrent Ste privé FY en cours après signature,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVL92AO/view?queryScope=userFolders,CA nouveau business récurrent Sociétés privées FY 22 et FY23,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KKIh2AO/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LFsq2AG/view?queryScope=userFolders,Estimatif C.A. (opportunité) pour les opportunités en cours (ni gagnées ni perdues) par étapes et par commercial,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X000007r673UAA/view?queryScope=userFolders,Estimatif C.A. par département (opportunité) pour les opportunités en cours (ni gagnées ni perdues),https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JeNi2AK/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhkd2AC/view?queryScope=userFolders,CA ponctuel après signature Institution publique hors AO et élevage. Fiscal year en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhjp2AC/view?queryScope=userFolders,CA ponctuel après signature secteur privé FY En cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhk42AC/view?queryScope=userFolders,CA ponctuel après signature Asso & Fédération FY En cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LhnD2AS/view?queryScope=userFolders,My CA ponctuel avant signature Institution publique sans AO,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhjz2AC/view?queryScope=userFolders,CA ponctuel avant signature Asso et fédération,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhn32AC/view?queryScope=userFolders,CA ponctuel avant signature Institution publique avec AO,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lhjf2AC/view?queryScope=userFolders,CA ponctuel avant signature secteur privé,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LRKj2AO/view?queryScope=userFolders,CA nouveau business ponctuel Associationset fédérations FY 22_23,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LRKU2A4/view?queryScope=userFolders,CA nouveau business ponctuel Institution publiques FY 22_23,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LRCq2AO/view?queryScope=userFolders,CA nouveau business ponctuel Sociétés privées FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVP62AO/view?queryScope=userFolders,CA potentiel ponctuel par région FY en cours,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
